#name:GRB_435
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:0.69
#Av_host:0.25
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 10.4129 0.0400 45.00 - AB 1 colibri
300.00 zy 9.6139 0.0400 45.00 - AB 1 colibri
350.00 r 10.6504 0.0400 45.00 - AB 1 colibri
350.00 zy 9.8890 0.0400 45.00 - AB 1 colibri
400.00 i 10.4845 0.0400 45.00 - AB 1 colibri
400.00 zy 10.1291 0.0400 45.00 - AB 1 colibri
450.00 g 11.6545 0.0400 45.00 - AB 1 colibri
450.00 zy 10.3421 0.0400 45.00 - AB 1 colibri
500.00 r 11.2951 0.0400 45.00 - AB 1 colibri
500.00 zy 10.5337 0.0400 45.00 - AB 1 colibri
550.00 i 11.0630 0.0400 45.00 - AB 1 colibri
550.00 zy 10.7076 0.0400 45.00 - AB 1 colibri
600.00 g 12.1793 0.0400 45.00 - AB 1 colibri
600.00 zy 10.8669 0.0400 45.00 - AB 1 colibri
650.00 r 11.7754 0.0400 45.00 - AB 1 colibri
650.00 zy 11.0139 0.0400 45.00 - AB 1 colibri
700.00 i 11.5057 0.0400 45.00 - AB 1 colibri
700.00 zy 11.1503 0.0400 45.00 - AB 1 colibri
750.00 g 12.5900 0.0400 45.00 - AB 1 colibri
750.00 zy 11.2776 0.0400 45.00 - AB 1 colibri
800.00 r 12.1583 0.0400 45.00 - AB 1 colibri
800.00 zy 11.3968 0.0400 45.00 - AB 1 colibri
850.00 i 11.8645 0.0400 45.00 - AB 1 colibri
850.00 zy 11.5091 0.0400 45.00 - AB 1 colibri
