#name:GRB_183
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:1.97
#Av_host:0.01
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 18.1134 0.0414 45.00 - AB 1 colibri
300.00 zy 18.0018 0.0514 45.00 - AB 1 colibri
350.00 r 18.2065 0.0440 45.00 - AB 1 colibri
350.00 zy 18.1054 0.0532 45.00 - AB 1 colibri
400.00 i 18.2429 0.0480 45.00 - AB 1 colibri
400.00 zy 18.1958 0.0549 45.00 - AB 1 colibri
450.00 g 18.4439 0.0448 45.00 - AB 1 colibri
450.00 zy 18.2761 0.0566 45.00 - AB 1 colibri
500.00 r 18.4494 0.0454 45.00 - AB 1 colibri
500.00 zy 18.3483 0.0583 45.00 - AB 1 colibri
550.00 i 18.4609 0.0507 45.00 - AB 1 colibri
550.00 zy 18.4138 0.0600 45.00 - AB 1 colibri
600.00 g 18.6417 0.0462 45.00 - AB 1 colibri
600.00 zy 18.4739 0.0617 45.00 - AB 1 colibri
650.00 r 18.6304 0.0468 45.00 - AB 1 colibri
650.00 zy 18.5293 0.0633 45.00 - AB 1 colibri
700.00 i 18.6278 0.0534 45.00 - AB 1 colibri
700.00 zy 18.5807 0.0650 45.00 - AB 1 colibri
750.00 g 18.7965 0.0475 45.00 - AB 1 colibri
750.00 zy 18.6287 0.0666 45.00 - AB 1 colibri
800.00 r 18.7748 0.0481 45.00 - AB 1 colibri
800.00 zy 18.6736 0.0682 45.00 - AB 1 colibri
850.00 i 18.7630 0.0560 45.00 - AB 1 colibri
850.00 zy 18.7160 0.0698 45.00 - AB 1 colibri
