# wavelength(nm) H
1437.8 0.004994
1439.8 0.006640
1441.8 0.008514
1443.8 0.010554
1445.8 0.012593
1447.8 0.014697
1449.8 0.016686
1451.8 0.019144
1453.8 0.022437
1455.8 0.026732
1457.8 0.032751
1459.8 0.041536
1461.8 0.054456
1463.8 0.074068
1465.8 0.104524
1467.8 0.150133
1469.8 0.220954
1471.8 0.323059
1473.8 0.461990
1475.8 0.621894
1477.8 0.751326
1479.8 0.824902
1481.8 0.845005
1483.8 0.842003
1485.8 0.834871
1487.8 0.834423
1489.8 0.844546
1491.8 0.861081
1493.8 0.881592
1495.8 0.902703
1497.8 0.919243
1499.7 0.931876
1501.7 0.940316
1503.7 0.943021
1505.7 0.944249
1507.7 0.944128
1509.7 0.943154
1511.7 0.944593
1513.7 0.946183
1515.7 0.948625
1517.7 0.952316
1519.7 0.955746
1521.7 0.959126
1523.7 0.962587
1525.7 0.963830
1527.7 0.965099
1529.7 0.965801
1531.7 0.964395
1533.7 0.964085
1535.7 0.961942
1537.7 0.960000
1539.7 0.959276
1541.7 0.957333
1543.7 0.956268
1545.7 0.956353
1547.7 0.955460
1549.7 0.956540
1551.7 0.957712
1553.7 0.958374
1555.7 0.960769
1557.7 0.961994
1559.7 0.963214
1561.7 0.965203
1563.7 0.966082
1565.6 0.966764
1567.6 0.968081
1569.6 0.967474
1571.6 0.967154
1573.6 0.967107
1575.6 0.966346
1577.6 0.966074
1579.6 0.965008
1581.6 0.963678
1583.6 0.963472
1585.6 0.961824
1587.6 0.960194
1589.6 0.959843
1591.6 0.957956
1593.6 0.957013
1595.6 0.956304
1597.6 0.954790
1599.6 0.954297
1601.6 0.954133
1603.6 0.953268
1605.6 0.954520
1607.6 0.953975
1609.6 0.954777
1611.6 0.955970
1613.6 0.956074
1615.6 0.957099
1617.6 0.958312
1619.6 0.958374
1621.6 0.959823
1623.6 0.960852
1625.6 0.961100
1627.6 0.962814
1629.6 0.963380
1631.5 0.964168
1633.5 0.966634
1635.5 0.966338
1637.5 0.968870
1639.5 0.969977
1641.5 0.970651
1643.5 0.972120
1645.5 0.972628
1647.5 0.972787
1649.5 0.974081
1651.5 0.972854
1653.5 0.972736
1655.5 0.973275
1657.5 0.972301
1659.5 0.972420
1661.5 0.973083
1663.5 0.972758
1665.5 0.974728
1667.5 0.975217
1669.5 0.975398
1671.5 0.978211
1673.5 0.978322
1675.5 0.978675
1677.5 0.979219
1679.5 0.978557
1681.5 0.977723
1683.5 0.976788
1685.5 0.975428
1687.5 0.973713
1689.5 0.971836
1691.5 0.970356
1693.5 0.970214
1695.5 0.969617
1697.5 0.969272
1699.4 0.971117
1701.4 0.970929
1703.4 0.971987
1705.4 0.971615
1707.4 0.973748
1709.4 0.971844
1711.4 0.970978
1713.4 0.967534
1715.4 0.966338
1717.4 0.963961
1719.4 0.960441
1721.4 0.960105
1723.4 0.958228
1725.4 0.958900
1727.4 0.960583
1729.4 0.962274
1731.4 0.965334
1733.4 0.967427
1735.4 0.969701
1737.4 0.970847
1739.4 0.969017
1741.4 0.962944
1743.4 0.954504
1745.4 0.939966
1747.4 0.921408
1749.4 0.898307
1751.4 0.868642
1753.4 0.832880
1755.4 0.790588
1757.4 0.737578
1759.4 0.675419
1761.4 0.603859
1763.4 0.525071
1765.3 0.445657
1767.3 0.370385
1769.3 0.301455
1771.3 0.242252
1773.3 0.193777
1775.3 0.154336
1777.3 0.123751
1779.3 0.099358
1781.3 0.080568
1783.3 0.066145
1785.3 0.054916
1787.3 0.045957
1789.3 0.038780
1791.3 0.032634
1793.3 0.028219
1795.3 0.024335
1797.3 0.021120
1799.3 0.018337
1801.3 0.015988
1803.3 0.013782
1805.3 0.011891
1807.3 0.010115
1809.3 0.008542
1811.3 0.007161
1813.3 0.005828
1815.3 0.004847
