# wavelength(nm) J
1154.8 0.004621
1156.8 0.006696
1158.8 0.010186
1160.8 0.016351
1162.8 0.026577
1164.8 0.043353
1166.8 0.070081
1168.8 0.106126
1170.8 0.145287
1172.8 0.186310
1174.8 0.228539
1176.8 0.280026
1178.8 0.348784
1180.8 0.438124
1182.8 0.545488
1184.8 0.660083
1186.8 0.760599
1188.8 0.823830
1190.8 0.849901
1192.8 0.856239
1194.8 0.853973
1196.8 0.853758
1198.8 0.853958
1200.8 0.857961
1202.8 0.859049
1204.8 0.859065
1206.8 0.857812
1208.8 0.854598
1210.8 0.853703
1212.8 0.852623
1214.8 0.853872
1216.8 0.856055
1218.8 0.858607
1220.8 0.862291
1222.8 0.863022
1224.8 0.865358
1226.8 0.865480
1228.8 0.865402
1230.8 0.866461
1232.8 0.866194
1234.8 0.868303
1236.8 0.869155
1238.8 0.871349
1240.8 0.873483
1242.8 0.874854
1244.8 0.877489
1246.8 0.878191
1248.8 0.880491
1250.7 0.881644
1252.7 0.882715
1254.7 0.884421
1256.7 0.884324
1258.7 0.885940
1260.7 0.884855
1262.7 0.885018
1264.7 0.884646
1266.7 0.883445
1268.7 0.884199
1270.7 0.883589
1272.7 0.884857
1274.7 0.886152
1276.7 0.887772
1278.7 0.889586
1280.7 0.890210
1282.7 0.891896
1284.7 0.891075
1286.7 0.890905
1288.7 0.890552
1290.7 0.888575
1292.7 0.888365
1294.7 0.887603
1296.7 0.887970
1298.7 0.889696
1300.7 0.891269
1302.7 0.894192
1304.7 0.896915
1306.7 0.901091
1308.7 0.903709
1310.7 0.905891
1312.7 0.907781
1314.7 0.907624
1316.7 0.907675
1318.7 0.906567
1320.7 0.905381
1322.7 0.902544
1324.7 0.894521
1326.7 0.875101
1328.7 0.830993
1330.7 0.747881
1332.7 0.627842
1334.7 0.489092
1336.7 0.356914
1338.7 0.248533
1340.7 0.169984
1342.7 0.115609
1344.7 0.080132
1346.7 0.056430
1348.7 0.040515
1350.6 0.029863
1352.6 0.022533
1354.6 0.017259
1356.6 0.013567
1358.6 0.010704
1360.6 0.008659
1362.6 0.007053
1364.6 0.005779
1366.6 0.004737
