# wavelength(nm) Ks
1924.4 0.004092
1926.4 0.004719
1928.4 0.005363
1930.3 0.005971
1932.3 0.006650
1934.3 0.007400
1936.3 0.008185
1938.3 0.009123
1940.3 0.010084
1942.3 0.011361
1944.3 0.012872
1946.3 0.014803
1948.2 0.016989
1950.2 0.019718
1952.2 0.023170
1954.2 0.027843
1956.2 0.033511
1958.2 0.040535
1960.2 0.049724
1962.2 0.061381
1964.1 0.076299
1966.1 0.095620
1968.1 0.119920
1970.1 0.151441
1972.1 0.188898
1974.1 0.233436
1976.1 0.283781
1978.1 0.335879
1980.0 0.387428
1982.0 0.436250
1984.0 0.480822
1986.0 0.515266
1988.0 0.544181
1990.0 0.567621
1992.0 0.587735
1994.0 0.605451
1996.0 0.622213
1997.9 0.639393
1999.9 0.655671
2001.9 0.672747
2003.9 0.690064
2005.9 0.705886
2007.9 0.721667
2009.9 0.735400
2011.9 0.747657
2013.8 0.757275
2015.8 0.764611
2017.8 0.770151
2019.8 0.772692
2021.8 0.774471
2023.8 0.774904
2025.8 0.773802
2027.8 0.772770
2029.7 0.771374
2031.7 0.770816
2033.7 0.769840
2035.7 0.769821
2037.7 0.770729
2039.7 0.772116
2041.7 0.774129
2043.7 0.777027
2045.7 0.779965
2047.6 0.783401
2049.6 0.786676
2051.6 0.790208
2053.6 0.793924
2055.6 0.796736
2057.6 0.799705
2059.6 0.801859
2061.6 0.803399
2063.5 0.805139
2065.5 0.805537
2067.5 0.805883
2069.5 0.806335
2071.5 0.805885
2073.5 0.805576
2075.5 0.805038
2077.5 0.804727
2079.4 0.804133
2081.4 0.803998
2083.4 0.804295
2085.4 0.804219
2087.4 0.805041
2089.4 0.805836
2091.4 0.806782
2093.4 0.808434
2095.4 0.809909
2097.3 0.811714
2099.3 0.813773
2101.3 0.815366
2103.3 0.817463
2105.3 0.819240
2107.3 0.820868
2109.3 0.822257
2111.3 0.823537
2113.2 0.824653
2115.2 0.825138
2117.2 0.825841
2119.2 0.826139
2121.2 0.825767
2123.2 0.825670
2125.2 0.825048
2127.2 0.824093
2129.1 0.823366
2131.1 0.822455
2133.1 0.821660
2135.1 0.820357
2137.1 0.819444
2139.1 0.818331
2141.1 0.817576
2143.1 0.816831
2145.1 0.816213
2147.0 0.815788
2149.0 0.815617
2151.0 0.815571
2153.0 0.816045
2155.0 0.816148
2157.0 0.816919
2159.0 0.817598
2161.0 0.818230
2162.9 0.819752
2164.9 0.820894
2166.9 0.822492
2168.9 0.823297
2170.9 0.825110
2172.9 0.826640
2174.9 0.827869
2176.9 0.829224
2178.8 0.830143
2180.8 0.831485
2182.8 0.832080
2184.8 0.832791
2186.8 0.833866
2188.8 0.834211
2190.8 0.834641
2192.8 0.835547
2194.8 0.835783
2196.7 0.836970
2198.7 0.836947
2200.7 0.838148
2202.7 0.838697
2204.7 0.839203
2206.7 0.839969
2208.7 0.840589
2210.7 0.841150
2212.6 0.841549
2214.6 0.841638
2216.6 0.842445
2218.6 0.842636
2220.6 0.843223
2222.6 0.843759
2224.6 0.843869
2226.6 0.844823
2228.5 0.844729
2230.5 0.845598
2232.5 0.846154
2234.5 0.846594
2236.5 0.847138
2238.5 0.847915
2240.5 0.848186
2242.5 0.848552
2244.5 0.848987
2246.4 0.849377
2248.4 0.849617
2250.4 0.849636
2252.4 0.849992
2254.4 0.849781
2256.4 0.849623
2258.4 0.849220
2260.4 0.849069
2262.3 0.848822
2264.3 0.847899
2266.3 0.847239
2268.3 0.846086
2270.3 0.844456
2272.3 0.842642
2274.3 0.840222
2276.3 0.836502
2278.2 0.832160
2280.2 0.824891
2282.2 0.816848
2284.2 0.805276
2286.2 0.790971
2288.2 0.772614
2290.2 0.750201
2292.2 0.723509
2294.2 0.692577
2296.1 0.655112
2298.1 0.613860
2300.1 0.570899
2302.1 0.526108
2304.1 0.479929
2306.1 0.434709
2308.1 0.389649
2310.1 0.346600
2312.0 0.305818
2314.0 0.269378
2316.0 0.236474
2318.0 0.206357
2320.0 0.180523
2322.0 0.157756
2324.0 0.138264
2326.0 0.121272
2327.9 0.105898
2329.9 0.092828
2331.9 0.081272
2333.9 0.071141
2335.9 0.062715
2337.9 0.054966
2339.9 0.048328
2341.9 0.042917
2343.9 0.038122
2345.8 0.033789
2347.8 0.030085
2349.8 0.026816
2351.8 0.024026
2353.8 0.021635
2355.8 0.019397
2357.8 0.017481
2359.8 0.015782
2361.7 0.014202
2363.7 0.012930
2365.7 0.011737
2367.7 0.010634
2369.7 0.009654
2371.7 0.008782
2373.7 0.008009
2375.7 0.007305
2377.6 0.006740
2379.6 0.006113
2381.6 0.005585
2383.6 0.005160
2385.6 0.004714
2387.6 0.004274
