# wavelength(nm) r
528.0 0.013598876412507
529.0 0.0126591448
530.0 0.0152602802
531.0 0.0158769438
532.0 0.0211957648
533.0 0.013669351872646
534.0 0.011102172945733
535.0 0.019954391692763
536.0 0.016998130898822
537.0 0.009217448423615
538.0 0.013771429490825
539.0 0.0064725398329958
540.0 0.0065068227752606
541.0 0.012596120322613
542.0 0.017681962404777
543.0 0.027158198
544.0 0.044004430222232
545.0 0.058625655305704
546.0 0.073095622953976
547.0 0.0914483331
548.0 0.1081689255
549.0 0.1254484746
550.0 0.1431279774
551.0 0.1599292944
552.0 0.1760697297
553.0 0.1919153979
554.0 0.2076187788
555.0 0.2229731685
556.0 0.23827083665785
557.0 0.25355130069111
558.0 0.26727763087457
559.0 0.27961453168503
560.0 0.29106785324905
561.0 0.30059844977873
562.0 0.3083393579
563.0 0.31505462425652
564.0 0.3200696335
565.0 0.32417292650584
566.0 0.3273613638
567.0 0.33006476187831
568.0 0.3328893906
569.0 0.335661524
570.0 0.33846542717816
571.0 0.3416642244
572.0 0.34575120413611
573.0 0.350743812823
574.0 0.3555886038
575.0 0.359715380296
576.0 0.36532061148251
577.0 0.3701475099
578.0 0.37504609164472
579.0 0.37891155206888
580.0 0.38205551829251
581.0 0.38501778578046
582.0 0.38566026468305
583.0 0.3849173733
584.0 0.3862638159
585.0 0.38751253322981
586.0 0.3866649968
587.0 0.3872842788
588.0 0.38762291301231
589.0 0.38815682437624
590.0 0.3894891037
591.0 0.39112002486216
592.0 0.39443411665651
593.0 0.39662818943801
594.0 0.39998974622589
595.0 0.40259286223923
596.0 0.40579677949159
597.0 0.40805819857794
598.0 0.40800674577171
599.0 0.40837383973182
600.0 0.40891786154849
601.0 0.406532767397
602.0 0.40258076823481
603.0 0.39871323751787
604.0 0.39271629590783
605.0 0.38702805571417
606.0 0.3824134725
607.0 0.3781014475
608.0 0.3747253644
609.0 0.3708196332
610.0 0.3686813588
611.0 0.3666779088
612.0 0.3654851541451
613.0 0.3660985088
614.0 0.36663544290726
615.0 0.3679410105
616.0 0.3698899194
617.0 0.3723292158
618.0 0.3742816119
619.0 0.3769545507
620.0 0.379372488
621.0 0.3812311656
622.0 0.38379938681432
623.0 0.38665377023108
624.0 0.38851495898596
625.0 0.39023386872682
626.0 0.39169071844605
627.0 0.391772619
628.0 0.3917114451
629.0 0.39173880422325
630.0 0.39125523360014
631.0 0.3904967856
632.0 0.3896019616
633.0 0.3881255103
634.0 0.38747095298065
635.0 0.3870700964
636.0 0.38706545914735
637.0 0.3871811676
638.0 0.3880947714
639.0 0.389483379
640.0 0.391400061
641.0 0.39449453701407
642.0 0.39637032679305
643.0 0.39915299464991
644.0 0.40214504152255
645.0 0.40460066582447
646.0 0.407243132
647.0 0.40935961351217
648.0 0.4112875668
649.0 0.4128432264
650.0 0.4141437366
651.0 0.41617737412582
652.0 0.416956525
653.0 0.41724629513211
654.0 0.41832545296101
655.0 0.4190071528984
656.0 0.41930629054709
657.0 0.41978600001717
658.0 0.41981959590346
659.0 0.41987138687137
660.0 0.41975692765098
661.0 0.41981528839012
662.0 0.4185932024
663.0 0.41715912958823
664.0 0.41523959463328
665.0 0.41403366112364
666.0 0.41163856688642
667.0 0.40919237400514
668.0 0.40713170123398
669.0 0.40432485743169
670.0 0.4007061872
671.0 0.3975014895
672.0 0.3938848348
673.0 0.38985343801967
674.0 0.3848570336
675.0 0.3806204872
676.0 0.37566872126468
677.0 0.3711658982
678.0 0.3672522468
679.0 0.3640270816
680.0 0.3608899841
681.0 0.35832729927075
682.0 0.35671420383362
683.0 0.35515646580315
684.0 0.354161782
685.0 0.35386260683289
686.0 0.3548871360273
687.0 0.35610692601673
688.0 0.35815685806709
689.0 0.36122550864664
690.0 0.3648894234
691.0 0.3684357438
692.0 0.3733717169
693.0 0.37776428254989
694.0 0.38309202
695.0 0.387635247
696.0 0.39258344904865
697.0 0.3975475551101
698.0 0.4014639301
699.0 0.4044527722
700.0 0.40796088107548
701.0 0.4103579568
702.0 0.4124010096
703.0 0.41380138385567
704.0 0.41407778576098
705.0 0.41352725417451
706.0 0.41240051781262
707.0 0.41149529728081
708.0 0.40980966160234
709.0 0.40944791428124
710.0 0.4099910075
711.0 0.4105938515
712.0 0.411198979
713.0 0.41176072
714.0 0.4125608584
715.0 0.4126823406
716.0 0.4125229523
717.0 0.4109651486
718.0 0.4074718503
719.0 0.4015968615
720.0 0.3932940555
721.0 0.3823003731
722.0 0.3687847933
723.0 0.3525107455
724.0 0.3340632624
725.0 0.3139086347
726.0 0.2916499901
727.0 0.2691067694911
728.0 0.246271008
729.0 0.223614192
730.0 0.201860712
731.0 0.181684536
732.0 0.163306368
733.0 0.147056808
734.0 0.132491256
735.0 0.11976575077198
736.0 0.10833507115616
737.0 0.099117210408215
738.0 0.091007676142959
739.0 0.083673620518917
740.0 0.077661460655443
741.0 0.072749599048811
742.0 0.0685051686
743.0 0.0649107324
744.0 0.0617641926
745.0 0.0591462066
746.0 0.0568355298
747.0 0.054631831323196
748.0 0.0522500363
749.0 0.0501364061
750.0 0.0479152498
